,ticker,eps,roce,divYield,fcfYield,eps_rank,roce_rank,fcfYield_rank,overall_rank
94,MSM,0.0603673162644108,0.2553087616073907,0.031080374828951,0.1067739222733389,360,113,200,673
95,HP,0.1005055254284397,0.1417828552683871,0.0466423430792714,0.1014598764439108,185,281,208,674
96,EXP,0.0854678625296141,0.1889363902600859,0.006943499964056,0.0799204327124809,224,197,262,683
97,DKS,0.1063934020355165,0.2303694839192221,0.0166332186128336,0.0568926431745591,173,136,378,687
98,OGN,0.1292184420797272,0.1750562596233566,0.0408651561647992,0.0607340769207878,119,221,351,691
99,ASR,0.0733558566940827,0.2248951994098496,0.0331207097621339,0.0784709239124971,287,144,269,700
100,GSK,0.0841699953917922,0.1723001928433683,0.0593004214637967,0.0880013465333816,231,228,241,700
101,GEF,0.0977820728329442,0.1205814995519267,0.0317138404371882,0.1186614853782862,195,329,177,701
102,DFS,0.1462351929375593,0.057791655270915,0.0234069536965173,0.229874265036637,102,548,52,702
103,AEL,0.285224769267949,0.0335802542221109,0.0173385921909495,0.467835115551224,21,671,15,707
104,GFI,0.0771022041007352,0.2187037404428709,0.0,0.0727536831662212,262,147,298,707
105,DVA,0.1106311622941815,0.0935850391078592,0.0,0.1384188905605402,157,411,141,709
106,CTSH,0.0773010914644067,0.2046190968631506,0.0190383474174346,0.0754782709669927,258,169,282,709
107,BSMX,0.1662143730347077,0.0557874049963975,0.1122367639037054,0.2036119791749009,85,561,71,717
108,AMAT,0.0622903515370889,0.3276961938605129,0.0088583857568059,0.068995468140702,352,62,307,721
109,HCA,0.0847810351539174,0.2138894113221741,0.0098107417961205,0.0620044891157571,228,154,339,721
110,UPS,0.0766192619816124,0.2471312094217122,0.033930629180288,0.0619363362139203,266,117,341,724
111,WF,0.3723064061301304,0.0216262084276835,0.0776206382539313,2.1658653324969097,11,711,3,725
112,NLY,0.1989712863555795,0.038039739055992,0.1752057889524744,0.5025989379735892,57,658,13,728
113,WSO,0.0677775089578074,0.322105812777047,0.0374811483672527,0.0606755874546807,319,65,353,737
114,TROW,0.0632070679612911,0.2121155255303558,0.0449293966623876,0.0860856003596299,341,159,243,743
115,WD,0.0842824908805257,0.0689113404818137,0.0315911525190334,0.615192414459145,230,509,9,748
116,CSL,0.0756963201266193,0.2076469822254053,0.0110103738365991,0.066963389687769,272,166,314,752
117,GM,0.204551985840153,0.0520549325659644,0.0121849466719787,0.1487910573512987,52,580,127,759
118,SUN,0.1315841672941126,0.0879424778761061,0.0994499285443925,0.1038822373374573,115,440,204,759
119,CSCO,0.0591592001608597,0.2130757126858795,0.0295584935712152,0.0892899146485599,369,156,237,762
120,T,0.1174016686646571,0.0647874740470818,0.0673041133212831,0.1692612417240381,142,520,100,762
121,M,0.1856444623061301,0.144106622240733,0.0272867391494991,0.0504725810857787,69,274,421,764
122,PM,0.0576763101950272,0.3565584510117921,0.0497974508447781,0.0619982087706493,376,50,340,766
123,AYI,0.0674507106076621,0.1682840993921296,0.0032750634052275,0.0996944896091283,322,233,213,768
124,CMC,0.1304583237437719,0.0825540344205211,0.0113706440728381,0.1118974194484038,116,459,194,769
125,MMP,0.0985735745589631,0.11403282632981,0.0827470183966595,0.0918777238749116,191,353,227,771
126,SHG,0.245027262083573,0.0205933943116249,0.0813346407483794,0.3509893068500989,29,717,26,772
127,MFG,0.5835312650622966,0.0119364178458961,0.2200157835463505,9.121836297766873,4,771,2,777
128,COF,0.1873936999052847,0.029387186016951,0.0299931764250578,0.3278116693315952,68,683,28,779
129,LYG,0.1744274591476374,0.0262027223931155,0.0471296029021368,0.5801254713838625,76,694,11,781
130,NTAP,0.0933529613918824,0.1602897181546213,0.0316550073165566,0.063603116552711,205,247,329,781
131,WAL,0.1771641404900072,0.0282682261208577,0.0278489361103179,0.3526023842174616,73,687,25,785
132,RKT,0.8292624143545245,0.0082482775574281,0.0,12.695719391189762,2,786,1,789
133,TSM,0.0856599457797836,0.2788867881793112,0.0240358266226475,0.0439008047421772,223,95,475,793
134,THC,0.1916786211351506,0.1028659611992945,0.0,0.0615288373843833,65,387,345,797
135,EPD,0.1048513335208649,0.0889457944594667,0.0782087815606451,0.1160240166009571,176,434,187,797
136,CE,0.1709266018421232,0.0620608899297423,0.026803168293089,0.1151543526666047,80,528,190,798
137,HMC,0.1161602869763751,0.0464680566778781,0.0356658913227316,0.2500303033365636,144,611,44,799
