,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
183,NXPI,0.067343666,0.190173295,0.01969325,344,225,569
184,HOG,0.11591971,0.114251444,0.014568765,165,404,569
185,PCAR,0.087340479,0.138659021,0.029137661,239,333,572
186,SID,0.110373903,0.117742279,0.191283949,180,393,573
187,CSCO,0.0591592,0.213075713,0.029558494,394,179,573
188,URI,0.081465894,0.148679731,0.0,267,309,576
189,MPLX,0.118908359,0.110660173,0.091864546,161,416,577
190,MAN,0.086058401,0.138216984,0.032208588,242,336,578
191,ODFL,0.043198037,0.42717804,0.004218427,543,35,578
192,FLT,0.068726628,0.179713096,0.0,332,246,578
193,AAPL,0.040913478,0.600871346,0.006083955,568,12,580
194,GOOGL,0.051741036,0.25287535,0.0,453,128,581
195,GOOG,0.051741036,0.25287535,0.0,453,128,581
196,JBL,0.05449009,0.228414326,0.002997621,424,159,583
197,V,0.04684762,0.311568078,0.010173416,507,78,585
198,BDC,0.080782425,0.14407976,0.00283874,269,316,585
199,CARR,0.101580184,0.120325122,0.014630536,204,383,587
200,PKG,0.084903262,0.137255727,0.034652205,250,339,589
201,ORLY,0.039988479,0.530985798,0.0,581,15,596
202,RH,0.072342981,0.163261454,0.0,319,280,599
203,PAYX,0.041168718,0.428833579,0.031062251,566,34,600
204,OTIS,0.038096454,0.68313172,0.01413795,596,7,603
205,ITW,0.043776634,0.345739828,0.022249034,537,67,604
206,ABEV,0.062970357,0.181567807,0.053320468,363,241,604
207,HI,0.079344461,0.138688748,0.023548859,273,332,605
208,RDN,0.206817747,0.075092298,0.037702912,62,549,611
209,AYI,0.067450711,0.168284099,0.003275063,342,270,612
210,DPZ,0.036546782,0.720650338,0.012729874,608,4,612
211,NOC,0.057930552,0.19715245,0.012447496,398,214,612
212,ADP,0.037524557,0.545030109,0.020935447,600,14,614
213,VZ,0.12838943,0.092461814,0.065263822,138,477,615
214,EME,0.054915342,0.203846869,0.003676194,422,195,617
215,NSP,0.041421624,0.364837853,0.017689239,563,55,618
216,DECK,0.043376206,0.317050567,0.0,542,77,619
217,MMP,0.098573575,0.114032826,0.082747018,211,408,619
218,IPG,0.071927744,0.155859983,0.035066692,321,298,619
219,INFY,0.041353766,0.362799962,0.023541543,565,56,621
220,IP,0.111551074,0.102217529,0.049916139,173,450,623
221,LAZ,0.107793788,0.104821865,0.054838047,186,438,624
222,FAST,0.040029882,0.386719166,0.026196757,579,47,626
223,ABC,0.060215119,0.180878951,0.013883448,382,244,626
224,GIB,0.059558268,0.181351367,0.0,387,242,629
225,BSBR,0.130513571,0.088532358,0.067535843,134,497,631
226,NOK,0.174196563,0.076833836,0.014468562,87,544,631
227,MCHP,0.048526959,0.235139642,0.015078337,482,150,632
228,EMR,0.074426189,0.13902133,0.028171844,302,331,633
229,SUN,0.131584167,0.087942478,0.099449929,133,502,635
