,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
188,MPLX,0.118908359,0.110660173,0.091864546,158,413,571
189,URI,0.081465894,0.148679731,0.0,266,308,574
190,ODFL,0.043198037,0.42717804,0.004218427,539,36,575
191,FLT,0.068726628,0.179713096,0.0,329,246,575
192,MAN,0.086058401,0.138216984,0.032208588,241,335,576
193,JBL,0.05449009,0.228414326,0.002997621,421,159,580
194,GOOG,0.051741036,0.25287535,0.0,452,128,580
195,GOOGL,0.051741036,0.25287535,0.0,452,128,580
196,EMR,0.239519092,0.075091478,0.021706927,38,544,582
197,CARR,0.101580184,0.120325122,0.014630536,202,382,584
198,BDC,0.080782425,0.14407976,0.00283874,268,317,585
199,PKG,0.084903262,0.137255727,0.034652205,249,338,587
200,RH,0.072342981,0.163261454,0.0,316,278,594
201,ORLY,0.039988479,0.530985798,0.0,579,16,595
202,PAYX,0.041168718,0.428833579,0.031062251,563,35,598
203,ITW,0.043776634,0.345739828,0.022249034,534,65,599
204,ABEV,0.062970357,0.181567807,0.053320468,360,242,602
205,OTIS,0.038096454,0.68313172,0.01413795,595,7,602
206,RDN,0.206817747,0.075092298,0.037702912,62,543,605
207,AYI,0.067450711,0.168284099,0.003275063,338,268,606
208,VZ,0.12838943,0.092461814,0.065263822,136,472,608
209,DPZ,0.036546782,0.720650338,0.012729874,606,4,610
210,NOC,0.057930552,0.19715245,0.012447496,397,214,611
211,ADP,0.037524557,0.545030109,0.020935447,599,14,613
212,NSP,0.041421624,0.364837853,0.017689239,560,53,613
213,DECK,0.043376206,0.317050567,0.0,538,76,614
214,IPG,0.071927744,0.155859983,0.035066692,318,297,615
215,IP,0.111551074,0.102217529,0.049916139,171,445,616
216,INFY,0.041353766,0.362799962,0.023541543,562,54,616
217,EME,0.054915342,0.203846869,0.003676194,419,197,616
218,MMP,0.098573575,0.114032826,0.082747018,211,406,617
219,LAZ,0.107793788,0.104821865,0.054838047,184,433,617
220,QCOM,0.058629768,0.188061431,0.028066407,392,231,623
221,FAST,0.040029882,0.386719166,0.026196757,577,46,623
222,ABC,0.060215119,0.180878951,0.013883448,381,244,625
223,NOK,0.174196563,0.076833836,0.014468562,88,539,627
224,SUN,0.131584167,0.087942478,0.099449929,131,499,630
225,MCHP,0.048526959,0.235139642,0.015078337,482,150,632
226,AAPL,0.035983116,0.551446146,0.005573961,620,13,633
227,INGR,0.075891189,0.134178553,0.02791932,292,342,634
228,TREX,0.039043605,0.38366148,0.0,586,48,634
229,SON,0.078405508,0.127066274,0.03144931,275,363,638
230,ALV,0.063417169,0.161717791,0.033582614,357,282,639
231,HES,0.051195243,0.212196,0.010708857,457,183,640
232,TRQ,0.158565065,0.077785186,0.0,104,536,640
233,DVA,0.110631162,0.093585039,0.0,174,467,641
234,GIB,0.051746783,0.209820956,3.01e-05,451,190,641
235,VRTX,0.044918261,0.274002405,0.0,525,118,643
236,BBD,0.127271583,0.086289367,0.0,140,507,647
237,BBDO,0.127271583,0.086289367,0.0,140,507,647
238,AVY,0.050886532,0.210340342,0.01605705,460,188,648
239,DCI,0.04688545,0.238419145,0.014948984,505,144,649
240,FCX,0.063333212,0.157258425,0.015815041,358,293,651
241,AMCR,0.071532711,0.140370474,0.04934938,322,329,651
242,CMC,0.130458324,0.082554034,0.011370644,132,519,651
243,BHP,0.042691135,0.278798342,0.043837628,542,110,652
244,YUM,0.034831976,0.523080603,0.017061096,635,18,653
245,JHX,0.053131792,0.196044212,0.013448985,436,218,654
246,PBA,0.117529171,0.088178328,0.065311566,160,496,656
247,AMX,0.064265907,0.151317184,0.001278857,353,304,657
248,NFG,0.100049077,0.10103723,0.036945897,209,448,657
249,WTS,0.050884418,0.202937766,0.007991787,461,199,660
250,CRH,0.088954417,0.107275683,0.030391654,233,429,662
251,CSX,0.062955924,0.15270911,0.012875287,361,302,663
252,AON,0.040746219,0.295934828,0.00728679,570,94,664
253,WPP,0.076519957,0.122204027,0.040955606,290,378,668
254,REGN,0.052973707,0.186825361,0.0,437,234,671
255,ITT,0.054259921,0.180360721,0.012995769,426,245,671
256,SWKS,0.062537997,0.152544441,0.025783879,368,303,671
257,WWE,0.038338428,0.306900661,0.006997351,593,80,673
258,CCK,0.073169009,0.128845597,0.010668384,312,361,673
259,MXL,0.047195163,0.214846371,0.0,499,175,674
260,KEYS,0.048653849,0.204703045,0.0,480,194,674
261,GM,0.204362083,0.059671187,0.008167077,65,609,674
262,DAR,0.073205392,0.12651552,0.0,311,366,677
263,MAR,0.048819961,0.201934081,0.006645974,476,201,677
264,SBUX,0.039610992,0.292076696,0.023354591,581,98,679
265,KMB,0.042225184,0.252068447,0.034015945,549,131,680
266,GGG,0.040536492,0.280875319,0.012506917,573,108,681
267,BKNG,0.038056958,0.302125896,0.0,596,86,682
268,SYY,0.047019831,0.212772935,0.026456365,503,181,684
269,DOV,0.055142446,0.169800369,0.014883258,417,267,684
270,FBHS,0.052109017,0.1827966,0.009647319,448,237,685
271,ITUB,0.120016312,0.080460864,0.027096808,154,531,685
272,EPD,0.104851334,0.088945794,0.078208782,193,493,686
273,VRSN,0.030396568,1.529764801,0.0,685,1,686
274,CE,0.170926602,0.06206089,0.026803168,92,596,688
275,TSCO,0.043466311,0.234706429,0.016353206,537,152,689
276,LMT,0.044680923,0.225664315,0.023509711,528,162,690
