,ticker,eps,roce,divYield,fcfYield,eps_rank,roce_rank,fcfYield_rank,overall_rank
81,RNR,0.2751352830943507,0.0552126920315601,0.0118693109231564,0.3545661079162256,8,659,21,688
82,HIG,0.1014393613403737,0.0946333352445387,0.0222404989520228,0.1622462628467239,137,478,73,688
83,NVR,0.0702121926932845,0.2914729512268396,0.0,0.0649928548158094,292,64,334,690
84,PSX,0.1170510665741241,0.1328024142845167,0.0314027237765504,0.0769383418351085,98,326,267,691
85,AMAT,0.0622903515370889,0.3276961938605129,0.0088583857568059,0.068995468140702,337,47,308,692
86,TX,0.08272382849241,0.1156376749896969,0.0696612697270751,0.143265280294897,220,378,97,695
87,KT,0.2290342841695347,0.0558612306535879,0.1214720416700468,0.3067933057001538,15,654,26,695
88,DKS,0.0815311375917152,0.1908192904043095,0.0273610102189716,0.0732254741697872,227,182,290,699
89,CINF,0.1134627247553133,0.0962815685942721,0.0279501231898601,0.125221477022413,112,467,125,704
90,MUR,0.0998992237408088,0.1168174040083621,0.0258186639086702,0.1030976768765897,144,373,193,710
91,THC,0.0795483918795892,0.1030485733695652,0.0,0.2113044844853901,233,439,43,715
92,CF,0.0992363680140037,0.1633028874484384,0.0202377117720361,0.0670902920802871,149,249,319,717
93,HAL,0.0811721030128758,0.2140498034076015,0.0177237040695286,0.0639714943759548,229,147,341,717
94,RS,0.0818908640852786,0.1792522825168483,0.0145955645921886,0.0737134247043548,224,210,285,719
95,CAT,0.0684577165995198,0.2621142033821187,0.0169769838069249,0.0648675780028154,301,84,335,720
96,OMC,0.0755532114781519,0.1783855711694607,0.0326201120990992,0.077883633561649,248,212,263,723
97,FITB,0.0995461517416079,0.0926388403772266,0.0449207836722453,0.1480690737271937,147,488,91,726
98,TNET,0.055317811892887,0.38130081300813,0.0,0.0693316575724183,389,31,306,726
99,CPA,0.1150297472490403,0.205729490330008,0.0300166518243702,0.0480872347052798,106,159,464,729
100,ABEV,0.0677884797711993,0.1821751483982742,0.0557283857276813,0.0874465732957854,305,202,225,732
